description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
Bacteriology Blood,BACT-BLD,H,Y,130,Bacteriology Blood,Sang Bactériologie
Bacteriology Urine,BACT-UR,H,Y,131,Bacteriology Urine,Urine Bactériologie
Bacteriology Stool,BACT-STL,H,Y,132,Bacteriology Stool,Selles Bactériologie
Cerebrospinal Fluid,CSF,H,Y,133,Cerebrospinal Fluid,Liquide Céphalo-Rachidien
Pleural Fluid,PLEU,H,Y,134,Pleural Fluid,Liquide Pleural
Peritoneal Fluid,PERI,H,Y,135,Peritoneal Fluid,Liquide Péritonéal
Pericardial Fluid,PERIC,H,Y,136,Pericardial Fluid,Liquide Péricardique
Amniotic Fluid,AMNIO,H,Y,137,Amniotic Fluid,Liquide Amniotique
Synovial Fluid,SYNOV,H,Y,138,Synovial Fluid,Liquide Synovial
Other Body Fluid,OTH-BF,H,Y,139,Other Body Fluid,Autre Liquide Corporel
Clinical Isolate,CLIN-ISO,O,Y,140,Clinical Isolate,Isolat Clinique
Other Clinical Sample,OTH-CLIN,H,Y,141,Other Clinical Sample,Autre Échantillon Clinique
Wastewater,WASTE-H2O,E,Y,142,Wastewater,Eaux Usées
Tap Water,TAP-H2O,E,Y,143,Tap Water,Eau du Robinet
Farm Water,FARM-H2O,E,Y,144,Farm Water,Eau de Ferme
Environmental Soil,ENV-SOIL,E,Y,145,Environmental Soil,Sol Environnemental
Other Environmental Sample,OTH-ENV,E,Y,146,Other Environmental Sample,Autre Échantillon Environnemental
Vegetables,VEG,O,Y,147,Vegetables,Légumes
Dry Foods,DRY-FOOD,O,Y,148,Dry Foods,Aliments Secs
Dairy Products Food,DAIRY-F,O,Y,149,Dairy Products Food,Produits Laitiers Alimentaires
Poultry Products,POULTRY,O,Y,150,Poultry Products,Produits Avicoles
Canned Foods,CANNED,O,Y,151,Canned Foods,Aliments en Conserve
Fruits,FRUITS,O,Y,152,Fruits,Fruits
Packed Foods,PACKED,O,Y,153,Packed Foods,Aliments Emballés
Other Food Sample,OTH-FOOD,O,Y,154,Other Food Sample,Autre Échantillon Alimentaire
Animal Stool,ANIM-STL,O,Y,155,Animal Stool,Selles Animales
Animal Tissue,ANIM-TIS,O,Y,156,Animal Tissue,Tissu Animal
Other Veterinary Sample,OTH-VET,O,Y,157,Other Veterinary Sample,Autre Échantillon Vétérinaire
Sample in Amies Medium,AMIES,O,Y,158,Sample in Amies Medium,Échantillon en Milieu Amies
Sample in Stuart Medium,STUART,O,Y,159,Sample in Stuart Medium,Échantillon en Milieu Stuart
Sample in Cary-Blair Medium,CARY-BL,O,Y,160,Sample in Cary-Blair Medium,Échantillon en Milieu Cary-Blair
