description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
CT Patient Sample,CT-PAT,H,Y,260,CT Patient Sample,Échantillon Patient Essai Clinique
CT Participant Sample,CT-PART,H,Y,261,CT Participant Sample,Échantillon Participant Essai Clinique
CT Screening Sample,CT-SCR,H,Y,262,CT Screening Sample,Échantillon Dépistage Essai Clinique
CT Enrolled Participant Sample,CT-ENR,H,Y,263,CT Enrolled Participant Sample,Échantillon Participant Inscrit Essai Clinique
CT Blood Sample,CT-BLD,H,Y,264,CT Blood Sample,Échantillon Sanguin Essai Clinique
CT Serum Sample,CT-SER,H,Y,265,CT Serum Sample,Échantillon Sérum Essai Clinique
CT Plasma Sample,CT-PLS,H,Y,266,CT Plasma Sample,Échantillon Plasma Essai Clinique
CT Urine Sample,CT-UR,H,Y,267,CT Urine Sample,Échantillon Urine Essai Clinique
CT Stool Sample,CT-STL,H,Y,268,CT Stool Sample,Échantillon Selles Essai Clinique
CT Swab Sample,CT-SWB,H,Y,269,CT Swab Sample,Échantillon Écouvillon Essai Clinique
CT Quality Checked Sample,CT-QC,H,Y,270,CT Quality Checked Sample,Échantillon Contrôlé Qualité Essai Clinique
CT Failed QC Sample,CT-FAIL,H,Y,271,CT Failed QC Sample,Échantillon QC Échoué Essai Clinique
CT Accepted Sample,CT-ACC,H,Y,272,CT Accepted Sample,Échantillon Accepté Essai Clinique
CT Rejected Sample,CT-REJ,H,Y,273,CT Rejected Sample,Échantillon Rejeté Essai Clinique
CT Sample in Vacutainer,CT-VAC,H,Y,274,CT Sample in Vacutainer,Échantillon en Vacutainer Essai Clinique
CT Sample in Cryovial,CT-CRYO,H,Y,275,CT Sample in Cryovial,Échantillon en Cryovial Essai Clinique
CT Sample in Urine Cup,CT-UCUP,H,Y,276,CT Sample in Urine Cup,Échantillon en Gobelet Urine Essai Clinique
CT Sample in Stool Jar,CT-SJAR,H,Y,277,CT Sample in Stool Jar,Échantillon en Pot Selles Essai Clinique
CT Sample in Swab Tube,CT-STUBE,H,Y,278,CT Sample in Swab Tube,Échantillon en Tube Écouvillon Essai Clinique
CT Sample in Biohazard Bag,CT-BHBAG,H,Y,279,CT Sample in Biohazard Bag,Échantillon en Sac Biohazard Essai Clinique
CT Sample in Transport Box,CT-TBOX,H,Y,280,CT Sample in Transport Box,Échantillon en Boîte de Transport Essai Clinique
CT EDTA Sample,CT-EDTA,H,Y,281,CT EDTA Sample,Échantillon EDTA Essai Clinique
CT Citrate Sample,CT-CIT,H,Y,282,CT Citrate Sample,Échantillon Citrate Essai Clinique
CT Heparin Sample,CT-HEP,H,Y,283,CT Heparin Sample,Échantillon Héparine Essai Clinique
CT Fluoride Sample,CT-FLU,H,Y,284,CT Fluoride Sample,Échantillon Fluorure Essai Clinique
CT Hemolyzed Sample,CT-HEMO,H,Y,285,CT Hemolyzed Sample,Échantillon Hémolysé Essai Clinique
CT Lipemic Sample,CT-LIP,H,Y,286,CT Lipemic Sample,Échantillon Lipémique Essai Clinique
CT Icteric Sample,CT-ICT,H,Y,287,CT Icteric Sample,Échantillon Ictérique Essai Clinique
CT Clotted Sample,CT-CLOT,H,Y,288,CT Clotted Sample,Échantillon Coagulé Essai Clinique
