description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
Path Alert Hospital Sample,PATH-AH,H,Y,390,Path Alert Hospital Sample,Échantillon Hôpital Alert Pathologie
Path Research Project Sample,PATH-RES,H,Y,391,Path Research Project Sample,Échantillon Projet Recherche Pathologie
Path Clinical Diagnostic Sample,PATH-CLIN,H,Y,392,Path Clinical Diagnostic Sample,Échantillon Diagnostic Clinique Pathologie
Path FFPE Tissue Block,PATH-FFPE,H,Y,393,Path FFPE Tissue Block,Bloc Tissulaire FFPE Pathologie
Path Fresh Biopsy,PATH-FBIO,H,Y,394,Path Fresh Biopsy,Biopsie Fraîche Pathologie
Path Surgical Resection,PATH-SURG,H,Y,395,Path Surgical Resection,Résection Chirurgicale Pathologie
Path FNA,PATH-FNA,H,Y,396,Path Fine Needle Aspirate,Aspiration à l'Aiguille Fine Pathologie
Path Pleural Fluid,PATH-PLEU,H,Y,397,Path Pleural Fluid,Liquide Pleural Pathologie
Path Peritoneal Fluid,PATH-PERI,H,Y,398,Path Peritoneal Fluid,Liquide Péritonéal Pathologie
Path Pericardial Fluid,PATH-PERIC,H,Y,399,Path Pericardial Fluid,Liquide Péricardique Pathologie
Path CSF,PATH-CSF,H,Y,400,Path Cerebrospinal Fluid,Liquide Céphalo-Rachidien Pathologie
Path Urine Cytology,PATH-UR,H,Y,401,Path Urine Cytology,Cytologie Urine Pathologie
Path Sputum Cytology,PATH-SPT,H,Y,402,Path Sputum Cytology,Cytologie Expectoration Pathologie
Path Cervical Smear,PATH-CERV,H,Y,403,Path Cervical Smear,Frottis Cervical Pathologie
Path EDTA Blood,PATH-EDTA,H,Y,404,Path EDTA Blood,Sang EDTA Pathologie
Path Peripheral Blood Smear,PATH-PBS,H,Y,405,Path Peripheral Blood Smear,Frottis Sanguin Périphérique Pathologie
Path Human Fresh Tissue,PATH-HFT,H,Y,406,Path Human Fresh Tissue,Tissu Humain Frais Pathologie
