description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
TM Arrival Sample,TM-ARR,O,Y,610,TM Arrival Sample,Échantillon Arrivée TM
TM Plant Material,TM-PLANT,O,Y,611,TM Plant Material,Matériel Végétal TM
TM Traditional Source,TM-TRAD,O,Y,612,TM Traditional Source,Source Traditionnelle TM
TM Registered Sample,TM-REG,O,Y,613,TM Registered Sample,Échantillon Enregistré TM
TM Unique ID Sample,TM-UID,O,Y,614,TM Unique ID Sample,Échantillon ID Unique TM
TM Origin Recorded Sample,TM-ORIG,O,Y,615,TM Origin Recorded Sample,Échantillon Origine Enregistrée TM
TM Species Sample,TM-SPEC,O,Y,616,TM Species Sample,Échantillon Espèce TM
TM Collector Sample,TM-COLL,O,Y,617,TM Collector Sample,Échantillon Collecteur TM
TM Botanical Verification,TM-BOTV,O,Y,618,TM Botanical Verification,Vérification Botanique TM
TM Expert Identified,TM-EXID,O,Y,619,TM Expert Identified,Identifié Expert TM
TM Authentication Pass,TM-AUTHP,O,Y,620,TM Authentication Pass,Authentification Passée TM
TM Authentication Fail,TM-AUTHF,O,Y,621,TM Authentication Fail,Authentification Échouée TM
TM Refrigerated Storage,TM-REFR,O,Y,622,TM Refrigerated Storage,Stockage Réfrigéré TM
TM Dried Sample,TM-DRY,O,Y,623,TM Dried Sample,Échantillon Séché TM
TM Preserved Sample,TM-PRES,O,Y,624,TM Preserved Sample,Échantillon Préservé TM
TM Herbarium Specimen,TM-HERB,O,Y,625,TM Herbarium Specimen,Spécimen Herbier TM
TM Mounted Specimen,TM-MOUNT,O,Y,626,TM Mounted Specimen,Spécimen Monté TM
TM Labeled Specimen,TM-LABEL,O,Y,627,TM Labeled Specimen,Spécimen Étiqueté TM
TM Cataloged Specimen,TM-CATA,O,Y,628,TM Cataloged Specimen,Spécimen Catalogué TM
TM Ground Sample,TM-GRND,O,Y,629,TM Ground Sample,Échantillon Broyé TM
TM Chopped Sample,TM-CHOP,O,Y,630,TM Chopped Sample,Échantillon Haché TM
TM Powdered Sample,TM-POWD,O,Y,631,TM Powdered Sample,Échantillon Pulvérisé TM
TM Fresh Processed Sample,TM-FRESH,O,Y,632,TM Fresh Processed Sample,Échantillon Frais Traité TM
TM Drying Sample,TM-DRYG,O,Y,633,TM Drying Sample,Échantillon Séchage TM
TM Ethanol Extract,TM-ETOH,O,Y,634,TM Ethanol Extract,Extrait Éthanol TM
TM Methanol Extract,TM-MEOH,O,Y,635,TM Methanol Extract,Extrait Méthanol TM
